normalized_title,movie_title,movie_year,is_atmos
13-hours,13 Hours: The Secret Soldiers of Benghazi,2016,true
1917,1917,2019,true
300,300,2006,true
6-underground,6 Underground,2019,true
a-haunting-in-venice,A Haunting in Venice,2023,true
a-quiet-place,A Quiet Place,2018,true
a-quiet-place-day-one,A Quiet Place: Day One,2024,true
a-quiet-place-part-ii,A Quiet Place Part II,2021,true
a-star-is-born-2018,A Star Is Born,2018,true
abigail-2024,Abigail,2024,true
across-the-universe,Across the Universe,2007,true
aladdin-2019,Aladdin,2019,true
alien-covenant,Alien: Covenant,2017,true
alien-romulus,Alien: Romulus,2024,true
aliens-1986,Aliens,1986,true
alita-battle-angel,Alita: Battle Angel,2019,true
all-quiet-on-the-western-front-2022,All Quiet on the Western Front,2022,true
ambulance-2022,Ambulance,2022,true
american-psycho,American Psycho,2000,true
angel-has-fallen,Angel Has Fallen,2019,true
ant-man-and-the-wasp,Ant-Man and The Wasp,2018,true
apocalypse-now,Apocalypse Now,1979,true
archive-81-s1e8,"Archive 81 Season 1, Ep. 8",2022,true
avatar-the-way-of-water,Avatar: The Way of Water,2022,true
avengers-endgame,Avengers: Endgame,2019,true
avengers-infinity-war,Avengers: Infinity War,2018,true
baby-driver,Baby Driver,2017,true
bad-boys-ii,Bad Boys II,2003,true
batman-begins,Batman Begins,2005,false
belfast,Belfast,2021,true
black-hawk-down,Black Hawk Down,2001,true
blade-runner-2049,Blade Runner 2049,2017,true
blue-beetle,Blue Beetle,2023,true
bohemian-rhapsody,Bohemian Rhapsody,2018,true
bram-stokers-dracula,Bram Stoker's Dracula,1992,true
candyman-2021,Candyman,2021,true
cars,Cars,2006,true
civil-war,Civil War,2024,true
code-8-part-2,Code 8: Part II,2024,false
conclave,Conclave,2024,true
creed-ii,Creed II,2018,true
dark-s1e2,Dark — S1 E2,2017,true
deadpool-2016,Deadpool,2016,true
deepwater-horizon,Deepwater Horizon,2016,true
den-of-thieves-2018,Den of Thieves,2018,true
devotion-2022,Devotion,2022,true
drive-2011,Drive,2011,true
dune-2021,Dune,2021,true
dune-part-two,Dune: Part Two,2024,true
dunkirk,Dunkirk,2017,false
edge-of-tomorrow,Edge of Tomorrow,2014,true
el-camino-a-breaking-bad-movie,El Camino: A Breaking Bad Movie,2019,true
enders-game,Ender's Game,2013,true
eternals,Eternals,2021,true
everest-2015,Everest,2015,true
everly-2014,Everly,2014,false
everything-everywhere-all-at-once,Everything Everywhere All at Once,2022,true
evil-dead-rise,Evil Dead Rise,2023,true
extraction-2,Extraction 2,2023,true
f1-the-movie,F1: The Movie,2025,true
first-man,First Man,2018,true
ford-v-ferrari,Ford v Ferrari,2019,true
frankenstein-2025,Frankenstein,2025,true
frozen-2,Frozen 2,2019,true
furiosa-a-mad-max-saga,Furiosa: A Mad Max Saga,2024,true
fury-2014,Fury,2014,true
game-of-thrones-s4e9,Game of Thrones — S4 E9 'The Watchers on the Wall',2014,true
game-of-thrones-s8,Game of Thrones Season 8 (opening credits),2019,true
gemini-man,Gemini Man,2019,true
ghost-in-the-shell-2017,Ghost in the Shell,2017,true
godzilla-king-of-the-monsters,Godzilla: King of the Monsters,2019,true
godzilla-minus-one,Godzilla Minus One,2023,true
godzilla-vs-kong,Godzilla vs Kong,2021,true
godzilla-x-kong-the-new-empire,Godzilla x Kong: The New Empire,2024,true
gran-turismo,Gran Turismo,2023,true
gravity,Gravity,2013,true
greenland,Greenland,2020,true
greyhound,Greyhound,2020,true
guardians-of-the-galaxy-vol-2,Guardians of the Galaxy Vol. 2,2017,true
guardians-of-the-galaxy-vol-3,Guardians of the Galaxy Vol. 3,2023,true
hacksaw-ridge,Hacksaw Ridge,2016,true
harry-potter-and-the-chamber-of-secrets,Harry Potter and the Chamber of Secrets,2002,true
harry-potter-and-the-half-blood-prince,Harry Potter and the Half-Blood Prince,2009,false
harry-potter-and-the-sorcerers-stone,Harry Potter and the Sorcerer's Stone,2001,true
heat-1995,Heat,1995,false
how-to-train-your-dragon,How to Train Your Dragon,2010,true
inception,Inception,2010,false
incredibles-2,Incredibles 2,2018,true
indiana-jones-and-the-dial-of-destiny,Indiana Jones and the Dial of Destiny,2023,true
insurgent-2015,Insurgent,2015,true
interstellar,Interstellar,2014,false
iron-man-2,Iron Man 2,2010,true
iron-man-3,Iron Man 3,2013,true
it-2017,IT,2017,true
john-wick,John Wick,2014,true
john-wick-chapter-2,John Wick: Chapter 2,2017,true
john-wick-chapter-3-parabellum,John Wick: Chapter 3 - Parabellum,2019,true
john-wick-chapter-4,John Wick: Chapter 4,2023,true
joker-2019,Joker,2019,true
jumanji-welcome-to-the-jungle,Jumanji: Welcome to the Jungle,2017,true
jungle-cruise,Jungle Cruise,2021,true
jupiter-ascending,Jupiter Ascending,2015,true
jurassic-park,Jurassic Park,1993,true
jurassic-world-2015,Jurassic World,2015,true
king-arthur-legend-of-the-sword,King Arthur: Legend of the Sword,2017,true
kong-skull-island,Kong: Skull Island,2017,true
leave-the-world-behind,Leave the World Behind,2023,true
lucy-2014,Lucy,2014,true
mad-max-fury-road,Mad Max: Fury Road,2015,true
man-of-steel,Man of Steel,2013,true
marrowbone,Marrowbone,2017,true
master-and-commander-the-far-side-of-the-world,Master and Commander: The Far Side of the World,2003,true
masters-of-the-air-s1e5,Masters of the Air — S1 E5,2024,true
midnight-mass-s1e1,Midnight Mass — S1 E1,2021,true
midway-2019,Midway,2019,true
minions-2015,Minions,2015,true
mission-impossible-fallout,Mission Impossible: Fallout,2018,true
mission-impossible-rogue-nation,Mission Impossible: Rogue Nation,2015,true
mission-impossible-the-final-reckoning,Mission: Impossible - The Final Reckoning,2025,true
moonfall,Moonfall,2022,true
mother-2017,mother!,2017,true
mulan-2020,Mulan,2020,true
no-time-to-die,No Time to Die,2021,true
nobody,Nobody,2021,true
nope,Nope,2022,true
nosferatu-2024,Nosferatu,2024,true
oblivion-2013,Oblivion,2013,true
old-2021,Old,2021,true
oppenheimer,Oppenheimer,2023,false
our-planet,Our Planet — Jungle episode,2019,true
our-planet-s1e1,Our Planet — S1 E1,2019,true
overlord-2018,Overlord,2018,true
pacific-rim,Pacific Rim,2013,true
pathaan,Pathaan,2023,true
pet-sematary-2019,Pet Sematary,2019,true
prey-2022,Prey,2022,true
ratatouille,Ratatouille,2007,true
ready-player-one,Ready Player One,2018,true
rogue-one-a-star-wars-story,Rogue One: A Star Wars Story,2016,true
roma,Roma,2018,true
san-andreas,San Andreas,2015,true
saving-private-ryan,Saving Private Ryan,1998,true
scott-pilgrim-vs-the-world,Scott Pilgrim vs. the World,2010,true
see,See,2019,true
see-s1e1,See — S1 E1 'Godflame',2019,true
see-s1e3,See — S1 E3 'Fresh Blood',2019,true
shazam,Shazam!,2019,true
sherlock-the-abominable-bride,Sherlock: The Abominable Bride,2016,true
shin-godzilla,Shin Godzilla,2016,false
sinners,Sinners,2025,true
sisu-2022,Sisu,2022,true
skyscraper,Skyscraper,2018,true
smile-2,Smile 2,2024,true
snowpiercer-s3e10,Snowpiercer — S3 E10,2022,true
sonic-the-hedgehog-2,Sonic the Hedgehog 2,2022,true
soul,Soul,2020,true
sound-of-metal,Sound of Metal,2019,false
space-sweepers,Space Sweepers,2021,true
spectre-2015,Spectre,2015,false
spider-man-2-2004,Spider-Man 2,2004,true
spider-man-across-the-spider-verse,Spider-Man: Across the Spider-Verse,2023,true
spider-man-far-from-home,Spider-Man: Far From Home,2019,true
spider-man-into-the-spider-verse,Spider-Man: Into the Spider-Verse,2018,true
star-trek-into-darkness,Star Trek Into Darkness,2013,true
star-wars-a-new-hope,Star Wars: A New Hope,1977,true
star-wars-andor-s1e5,Star Wars: Andor — S1 E5 'The Axe Forgets',2022,true
star-wars-attack-of-the-clones,Star Wars: Episode II — Attack of the Clones,2002,true
star-wars-revenge-of-the-sith,Star Wars: Episode III — Revenge of the Sith,2005,true
star-wars-the-empire-strikes-back,Star Wars: Episode V — The Empire Strikes Back,1980,true
star-wars-the-force-awakens,Star Wars: Episode VII — The Force Awakens,2015,true
star-wars-the-phantom-menace,Star Wars: Episode I — The Phantom Menace,1999,true
stranger-things-s1e1,Stranger Things — S1 E1,2016,false
stranger-things-s4e6,Stranger Things — S4 E6,2022,true
stranger-things-s5e8,"Stranger Things Season 5, Ep. 8",2025,true
suspiria-1977,Suspiria,1977,true
tenet,Tenet,2020,false
terminator-dark-fate,Terminator: Dark Fate,2019,true
terminator-genisys,Terminator Genisys,2015,true
texas-chainsaw-massacre-2022,Texas Chainsaw Massacre,2022,true
the-ballad-of-songbirds-and-snakes,The Ballad of Songbirds and Snakes,2023,true
the-batman,The Batman,2022,true
the-big-lebowski,The Big Lebowski,1998,false
the-boogeyman-2023,The Boogeyman,2023,true
the-book-of-eli,The Book of Eli,2010,false
the-cloverfield-paradox,The Cloverfield Paradox,2018,true
the-conjuring-2,The Conjuring 2,2016,true
the-dark-knight,The Dark Knight,2008,false
the-fall-of-the-house-of-usher,The Fall of the House of Usher,2023,true
the-fifth-element,The Fifth Element,1997,true
the-girl-in-the-spiders-web,The Girl in the Spider's Web,2018,true
the-gorge,The Gorge,2025,true
the-great-wall,The Great Wall,2016,true
the-greatest-showman,The Greatest Showman,2017,true
the-green-planet,The Green Planet,2022,true
the-gunman,The Gunman,2015,true
the-haunting-of-hill-house-s1e6,The Haunting of Hill House — S1 E6 'Two Storms',2018,true
the-hobbit-an-unexpected-journey,The Hobbit: An Unexpected Journey,2012,true
the-hobbit-the-desolation-of-smaug,The Hobbit: The Desolation of Smaug,2013,true
the-hunger-games,The Hunger Games,2012,true
the-incredible-hulk,The Incredible Hulk,2008,true
the-kings-man,The King's Man,2021,true
the-last-of-us-s1e1,The Last of Us — S1 E1,2023,true
the-last-samurai,The Last Samurai,2003,false
the-lord-of-the-rings-the-fellowship-of-the-ring,The Lord of the Rings: The Fellowship of the Ring,2001,true
the-lord-of-the-rings-the-return-of-the-king,The Lord of the Rings: The Return of the King,2003,true
the-lord-of-the-rings-the-two-towers,The Lord of the Rings: The Two Towers,2002,true
the-matrix,The Matrix,1999,true
the-matrix-resurrections,The Matrix Resurrections,2021,true
the-matrix-revolutions,The Matrix Revolutions,2003,true
the-mitchells-vs-the-machines,The Mitchells vs. the Machines,2021,true
the-night-before,The Night Before,2015,false
the-northman,The Northman,2022,true
the-old-guard,The Old Guard,2020,true
the-power-of-the-dog,The Power of the Dog,2021,true
